,compounds,number_chiral_centers,weight
533,C01144,6,853.6234
534,C01149,0,130.208
535,C01153,0,0.0
536,C01157,2,131.1299
537,C01161,0,168.1467
538,C01163,0,186.1189
539,C01164,7,384.6377
540,C01165,1,131.1299
541,C01167,1,0.0
542,C01168,4,324.1813
543,C01171,1,260.1358
544,C01172,5,260.1358
545,C01173,0,176.1687
546,C01177,6,260.1358
547,C01179,0,180.1574
548,C01180,0,148.1802
549,C01181,0,146.2074
550,C01183,0,137.179
551,C01185,4,336.2119
552,C01188,0,104.1045
553,C01189,8,386.6535
554,C01190,7,0.0
555,C01192,0,408.4666
556,C01194,6,0.0
557,C01197,0,180.1574
558,C01204,6,660.0353
559,C01209,0,0.0
560,C01216,2,178.14
561,C01217,11,776.6827
562,C01220,6,340.1157
563,C01227,6,288.4244
564,C01228,4,603.1603
565,C01229,0,0.0
566,C01230,0,586.6772
567,C01233,1,215.1415
568,C01234,0,101.1039
569,C01235,11,342.2965
570,C01236,4,258.1199
571,C01239,5,220.22299999999998
572,C01241,0,0.0
573,C01242,1,0.0
574,C01245,6,420.0956
575,C01246,5,0.0
576,C01250,1,173.1665
577,C01251,1,206.1501
578,C01252,0,207.1828
579,C01256,1,0.0
580,C01259,2,205.2746
581,C01260,8,836.387
582,C01262,1,240.25900000000001
583,C01267,0,220.1198
584,C01269,3,324.178
585,C01271,1,0.0
586,C01272,6,500.0755
587,C01277,7,0.0
588,C01279,0,139.1552
589,C01284,6,580.0554
590,C01288,11,0.0
591,C01290,12,0.0
592,C01293,1,0.0
593,C01300,0,195.1787
594,C01302,2,349.2305
595,C01304,4,353.2258
596,C01322,0,0.0
597,C01326,0,27.0253
598,C01327,0,36.4609
599,C01335,0,0.0
600,C01344,3,412.1865
601,C01345,3,492.1664
602,C01346,3,388.1618
603,C01352,7,787.5656
604,C01353,0,62.0248
605,C01371,0,0.0
606,C01401,0,89.0932
607,C01416,4,303.3529
608,C01417,0,43.0247
609,C01419,1,178.2095
610,C01449,3,277.2792
611,C01450,0,0.0
612,C01467,0,108.1378
613,C01468,0,108.1378
614,C01494,0,194.18400000000003
615,C01502,0,124.1372
616,C01507,4,182.1718
617,C01516,5,285.3377
618,C01525,0,0.0
619,C01528,0,80.9759
620,C01545,0,128.21200000000002
621,C01563,0,61.04
622,C01566,0,42.04
623,C01573,2,0.0
624,C01594,5,247.2451
625,C01595,0,280.4455
626,C01598,0,232.2783
627,C01609,-1,0.0
628,C01612,0,0.0
629,C01613,19,666.5777
630,C01628,0,0.0
631,C01629,-1,0.0
632,C01635,-1,0.0
633,C01636,-1,0.0
634,C01637,-1,0.0
635,C01638,-1,0.0
636,C01639,-1,0.0
637,C01640,-1,0.0
638,C01641,-1,0.0
639,C01642,-1,0.0
640,C01643,-1,0.0
641,C01644,-1,0.0
642,C01645,-1,0.0
643,C01646,-1,0.0
644,C01647,-1,0.0
645,C01648,-1,0.0
646,C01649,-1,0.0
647,C01650,-1,0.0
648,C01651,-1,0.0
649,C01652,-1,0.0
650,C01653,-1,0.0
651,C01656,0,0.0
652,C01659,0,71.0779
653,C01672,0,102.1781
654,C01674,9,424.4003
655,C01694,8,396.6484
656,C01702,1,0.0
657,C01724,7,426.7174
658,C01725,8,342.2965
659,C01755,0,59.0903
660,C01762,4,284.2255
661,C01764,12,0.0
662,C01777,0,0.0
663,C01794,16,1158.0902
664,C01801,2,134.1305
665,C01832,5,949.8366
666,C01847,3,458.3597
667,C01860,2,204.3511
668,C01867,-1,0.0
669,C01876,0,274.4409
670,C01879,1,129.114
671,C01880,0,114.1424
672,C01885,0,0.0
673,C01888,0,73.0938
