,compounds,number_chiral_centers,weight
532,C01227,6,288.4244
533,C01228,4,603.1603
534,C01229,0,0.0
535,C01230,0,586.6772
536,C01233,1,215.1415
537,C01236,4,258.1199
538,C01240,4,0.0
539,C01242,1,0.0
540,C01250,1,173.1665
541,C01253,9,0.0
542,C01255,0,244.3306
543,C01260,8,836.387
544,C01267,0,220.1198
545,C01268,4,354.2106
546,C01269,3,324.178
547,C01271,1,0.0
548,C01278,0,186.1189
549,C01279,0,139.1552
550,C01281,1,0.0
551,C01290,12,0.0
552,C01299,5,0.0
553,C01300,0,195.1787
554,C01302,2,349.2305
555,C01304,4,353.2258
556,C01319,0,200.59
557,C01322,0,0.0
558,C01326,0,27.0253
559,C01327,0,36.4609
560,C01335,0,0.0
561,C01344,3,412.1865
562,C01345,3,492.1664
563,C01346,3,388.1618
564,C01352,7,787.5656
565,C01353,0,62.0248
566,C01367,4,347.2212
567,C01368,4,324.1813
568,C01384,0,116.0722
569,C01401,0,89.0932
570,C01416,4,303.3529
571,C01419,1,178.2095
572,C01424,0,170.1195
573,C01449,3,277.2792
574,C01450,0,0.0
575,C01454,0,136.1479
576,C01494,0,194.18400000000003
577,C01507,4,182.1718
578,C01528,0,80.9759
579,C01545,0,128.21200000000002
580,C01563,0,61.04
581,C01586,0,179.1727
582,C01595,0,280.4455
583,C01596,0,115.0874
584,C01609,-1,0.0
585,C01612,0,0.0
586,C01628,0,0.0
587,C01635,-1,0.0
588,C01636,-1,0.0
589,C01638,-1,0.0
590,C01639,-1,0.0
591,C01640,-1,0.0
592,C01641,-1,0.0
593,C01642,-1,0.0
594,C01643,-1,0.0
595,C01644,-1,0.0
596,C01645,-1,0.0
597,C01646,-1,0.0
598,C01647,-1,0.0
599,C01648,-1,0.0
600,C01649,-1,0.0
601,C01650,-1,0.0
602,C01651,-1,0.0
603,C01652,-1,0.0
604,C01653,-1,0.0
605,C01656,0,0.0
606,C01659,0,71.0779
607,C01672,0,102.1781
608,C01674,9,424.4003
609,C01720,4,180.1559
610,C01755,0,59.0903
611,C01762,4,284.2255
612,C01812,0,59.044
613,C01832,5,949.8366
614,C01847,3,458.3597
615,C01866,-1,0.0
616,C01879,1,129.114
617,C01880,0,114.1424
618,C01904,2,152.1458
619,C01909,0,214.2615
620,C01921,11,465.6227
621,C01929,1,139.1552
622,C01931,13,0.0
623,C01934,4,180.1559
624,C01944,5,893.7303
625,C01953,7,316.4776
626,C01967,0,795.2265
627,C01977,12,0.0
628,C01978,15,0.0
629,C01983,1,152.1473
630,C02047,13,0.0
631,C02051,1,0.0
632,C02059,0,450.6957
633,C02073,12,0.0
634,C02084,0,226.2723
635,C02090,4,723.8623
636,C02097,8,564.3290000000002
637,C02128,9,0.0
638,C02137,0,150.1314
639,C02163,13,0.0
640,C02166,4,625.7739
641,C02167,0,186.1189
642,C02170,0,118.088
643,C02191,0,562.6582
644,C02211,0,0.0
645,C02218,0,87.0773
646,C02222,0,158.1088
647,C02225,2,206.1501
648,C02226,0,130.0987
649,C02232,5,909.6436
650,C02247,5,886.6548
651,C02282,13,0.0
652,C02297,0,0.0
653,C02315,2,0.0
654,C02320,2,0.0
655,C02336,4,180.1559
656,C02338,5,164.1565
657,C02341,0,174.1082
658,C02351,0,108.0948
659,C02353,4,329.2059
660,C02354,4,305.1812
661,C02355,4,306.166
662,C02356,1,103.1198
663,C02375,0,144.5557
664,C02376,0,125.1286
665,C02378,0,131.1729
666,C02391,0,0.0
667,C02411,5,879.6176
668,C02412,12,0.0
669,C02429,3,0.0
670,C02430,13,0.0
671,C02463,4,864.8477
672,C02469,0,830.7469
673,C02476,5,164.1565
674,C02480,0,142.1094
675,C02501,0,158.1088
676,C02504,1,176.1672
677,C02505,0,135.1632
678,C02508,4,0.0
679,C02512,1,114.1026
680,C02514,0,186.1189
681,C02520,4,0.0
682,C02528,10,392.57199999999995
683,C02532,1,185.0725
684,C02538,4,350.4293
685,C02553,13,0.0
686,C02554,13,0.0
687,C02557,5,867.6069
688,C02565,0,114.1026
689,C02576,0,150.2176
690,C02582,2,0.0
691,C02583,1,0.0
692,C02593,5,977.8898
693,C02612,1,148.114
694,C02630,0,148.114
695,C02631,0,158.1519
696,C02637,2,172.1354
697,C02642,0,132.1179
698,C02666,0,178.1846
699,C02670,4,176.1241
700,C02686,7,0.0
701,C02693,0,174.1992
702,C02700,1,236.22400000000002
703,C02702,13,0.0
704,C02709,0,151.1626
705,C02713,5,293.2705
706,C02714,0,130.1882
707,C02720,0,109.1259
708,C02729,-1,0.0
709,C02737,1,0.0
710,C02739,8,719.2755
711,C02741,8,559.3157
712,C02743,1,0.0
713,C02745,-1,0.0
714,C02764,12,0.0
715,C02780,2,192.1235
716,C02782,3,180.1559
717,C02835,0,126.1133
718,C02839,13,0.0
719,C02843,5,0.0
720,C02869,-1,0.0
721,C02876,0,154.0584
722,C02909,0,158.1965
723,C02923,0,124.1372
724,C02929,0,0.0
725,C02938,0,156.1839
726,C02939,5,851.6505
727,C02946,0,145.1564
728,C02949,5,887.6396
729,C02953,2,239.2312
730,C02954,3,216.2575
731,C02962,4,260.1358
732,C02967,9,0.0
733,C02972,1,0.0
734,C02984,13,0.0
735,C02987,13,0.0
736,C02988,13,0.0
737,C02992,14,0.0
738,C02999,7,364.3484
739,C03005,0,151.1626
740,C03012,0,160.1693
741,C03023,1,0.0
742,C03024,-1,0.0
743,C03028,0,505.2943
744,C03044,2,90.12100000000001
745,C03063,0,172.1354
746,C03067,0,122.1213
747,C03069,5,849.6347
748,C03078,0,144.175
749,C03082,1,213.0826
750,C03089,3,180.2221
751,C03090,4,229.125
752,C03103,-1,0.0
753,C03114,0,146.1891
754,C03120,1,0.0
755,C03125,13,0.0
756,C03127,14,0.0
757,C03129,0,0.0
758,C03150,4,255.2472
759,C03161,-1,0.0
760,C03167,0,124.0325
761,C03170,4,721.8464
762,C03175,3,254.1312
763,C03193,3,0.0
764,C03194,1,75.1097
765,C03195,1,300.4766
766,C03198,1,168.1467
767,C03203,0,188.1794
768,C03205,6,330.4611
769,C03221,5,947.8207
770,C03226,0,781.1999
771,C03227,1,224.2133
772,C03231,5,893.6442
773,C03232,0,184.0414
774,C03263,0,660.7566
775,C03272,22,0.0
776,C03273,0,116.1152
777,C03284,1,103.1198
778,C03287,1,227.1092
779,C03294,13,0.0
780,C03306,1,0.0
781,C03313,2,452.7116
782,C03315,1,0.0
783,C03319,8,548.3296
784,C03344,5,865.6341
785,C03345,5,849.6347
786,C03356,2,216.0832
787,C03360,0,219.0887
788,C03363,1,0.0
789,C03372,0,0.0
790,C03373,4,295.1864
791,C03391,9,0.0
792,C03402,13,0.0
793,C03406,2,290.2731
794,C03410,5,325.2693
795,C03419,4,0.0
796,C03427,3,722.9112
797,C03451,3,379.3861
798,C03453,0,158.1088
799,C03459,0,148.071
800,C03460,5,835.6081
801,C03461,0,220.3505
802,C03479,2,473.4393
803,C03492,1,299.2149
804,C03506,2,287.2057
805,C03511,0,0.0
806,C03512,13,0.0
807,C03516,0,584.9473
808,C03523,0,0.0
809,C03539,4,267.2994
810,C03541,4,0.0
811,C03546,6,260.1358
812,C03561,6,853.6234
813,C03585,0,176.5545
814,C03586,0,142.1094
815,C03590,0,166.1308
816,C03617,14,0.0
817,C03620,0,0.0
818,C03633,1,0.0
819,C03638,12,0.0
820,C03671,0,184.1031
821,C03680,0,156.1393
822,C03684,0,237.2153
823,C03687,0,0.0
824,C03688,-1,0.0
825,C03691,10,630.4505
826,C03715,0,0.0
827,C03722,0,167.1189
828,C03723,4,0.0
829,C03733,9,566.3018
830,C03740,2,0.0
831,C03741,1,131.1299
832,C03758,0,153.1784
833,C03771,0,173.1698
834,C03785,3,340.1157
835,C03794,5,463.2934
836,C03798,1,0.0
837,C03800,1,0.0
838,C03806,-1,0.0
839,C03827,2,162.1406
840,C03838,4,286.1764
841,C03871,1,189.1659
842,C03880,13,0.0
843,C03885,0,751.1739
844,C03892,2,0.0
845,C03895,2,0.0
846,C03899,2,0.0
847,C03912,1,113.1146
848,C03921,2,192.1235
849,C03926,2,178.14
850,C03939,0,0.0
851,C03972,1,171.1507
852,C03979,2,162.1406
853,C04006,6,260.1358
854,C04039,0,134.1305
855,C04044,0,182.1733
856,C04051,0,126.1166
857,C04052,0,216.1449
858,C04079,2,322.3779
859,C04088,0,0.0
860,C04105,0,142.1094
861,C04112,0,156.136
862,C04115,0,220.1336
863,C04121,9,543.3732
864,C04122,1,155.0896
865,C04125,1,0.0
866,C04133,1,269.1458
867,C04142,1,0.0
868,C04144,4,703.6572
869,C04145,0,791.0283
870,C04146,0,722.9112
871,C04157,12,0.0
872,C04160,12,0.0
873,C04180,0,0.0
874,C04181,0,132.1146
875,C04186,0,216.1449
876,C04225,0,188.1348
877,C04230,0,0.0
878,C04232,3,0.0
879,C04233,1,0.0
880,C04236,1,174.1513
881,C04242,3,326.1723
882,C04246,0,0.0
883,C04250,9,0.0
884,C04253,-1,0.0
885,C04257,4,301.1877
886,C04258,13,0.0
887,C04260,4,0.0
888,C04261,1,0.0
889,C04262,1,0.0
890,C04272,1,134.1305
891,C04281,2,129.114
892,C04287,3,160.1247
893,C04295,7,290.4403
894,C04297,7,531.3023
895,C04302,4,349.2305
896,C04309,0,198.0679
897,C04311,1,0.0
898,C04312,12,0.0
899,C04317,1,0.0
900,C04324,0,202.1183
901,C04327,0,223.1867
902,C04332,3,326.3052
903,C04340,0,0.0
904,C04349,1,176.1241
905,C04352,2,402.3578
906,C04376,4,314.1865
907,C04377,11,788.6934
908,C04398,2,0.0
909,C04405,7,867.6499
910,C04411,2,176.1672
911,C04419,2,0.0
912,C04421,2,290.2698
913,C04425,4,398.4142
914,C04431,0,140.0936
915,C04432,12,0.0
916,C04434,0,202.1183
917,C04438,1,0.0
