,compounds,number_chiral_centers,weight
676,C19724,9,937.9168
677,C19771,8,1059.6086
678,C19787,4,298.3183
679,C19848,7,724.5578
680,C19852,0,927.2623
681,C19871,7,866.4801
682,C19967,3,523.1804
683,C19968,3,363.2206
684,C19972,5,246.2603
685,C20082,6,334.3224
686,C20239,0,211.1781
687,C20246,1,267.1962
688,C20247,0,267.1962
689,C20248,0,194.1475
690,C20258,2,187.1501
691,C20345,0,166.1122
692,C20466,2,804.0872
693,C20482,9,683.4563
694,C20483,9,763.4362
695,C20518,7,733.1369
696,C20567,2,317.1952
697,C20580,12,0.0
698,C20581,0,202.1614
699,C20582,0,216.188
700,C20627,5,1038.3182
701,C20628,2,820.2142
702,C20641,6,492.3346
703,C20642,7,975.2574
704,C20648,12,0.0
705,C20652,13,0.0
706,C20663,1,0.0
707,C20688,12,0.0
708,C20691,12,0.0
709,C20751,14,0.0
710,C20796,12,0.0
711,C20849,8,605.3378
712,C20858,1,0.0
713,C20864,12,0.0
714,C20969,0,142.0047
715,C21031,9,0.0
716,C21153,17,1659.5617
717,C21440,1,0.0
718,C21485,7,826.456
719,C21502,12,1641.7642
720,C21508,15,0.0
721,C21748,4,422.1516
722,C21749,4,502.1315
723,C21750,3,406.1522
724,C21751,3,486.1321
725,C00016,7,785.5497
726,C00031,4,180.1559
727,C00048,0,74.0355
728,C00060,0,0.0
729,C00071,0,0.0
730,C00095,3,180.1559
731,C00096,9,605.3411
732,C00137,6,180.1559
733,C00160,0,76.0514
734,C00168,0,104.0615
735,C00180,0,122.1213
736,C00208,9,342.2965
737,C00213,0,89.0932
738,C00221,5,180.1559
739,C00227,0,140.0319
740,C00231,2,230.1098
741,C00234,2,473.4393
742,C00241,0,0.0
743,C00247,3,180.1559
744,C00258,1,106.0773
745,C00264,5,0.0
746,C00267,5,180.1559
747,C00300,0,131.1332
748,C00310,2,150.1299
749,C00311,0,192.1235
750,C00334,0,103.1198
751,C00340,-1,0.0
752,C00350,0,0.0
753,C00369,10,0.0
754,C00379,3,152.1458
755,C00390,0,0.0
756,C00399,0,0.0
757,C00402,1,133.1027
758,C00435,-1,0.0
759,C00439,1,174.1546
760,C00440,2,459.4558
761,C00445,1,456.43199999999996
762,C00449,2,276.2863
763,C00450,1,127.1412
764,C00512,5,871.6402
765,C00541,13,1329.3478
766,C00566,6,941.6424
767,C00568,0,137.136
768,C00581,0,117.1066
769,C00590,0,180.2005
770,C00605,5,0.0
771,C00615,1,0.0
772,C00632,0,153.1354
773,C00640,6,0.0
774,C00658,5,0.0
775,C00664,2,472.4546
776,C00685,0,0.0
777,C00704,0,31.9988
778,C00718,5,0.0
779,C00721,10,0.0
780,C00785,0,138.124
781,C00791,0,113.1179
782,C00794,4,182.1718
783,C00853,13,1330.3557
784,C00877,5,835.6081
785,C00894,5,821.5815
786,C00921,0,314.2994
787,C00956,1,161.1558
788,C01035,0,145.1597
789,C01045,1,175.1394
790,C01086,6,0.0
791,C01097,3,260.1358
792,C01122,5,0.0
793,C01159,1,266.0371
794,C01172,5,260.1358
795,C01177,6,260.1358
796,C01213,6,867.6069
797,C01222,8,587.3258
798,C01242,1,0.0
799,C01271,1,0.0
800,C01283,6,259.151
801,C01294,6,301.191
802,C01300,0,195.1787
803,C01352,7,787.5656
804,C01507,4,182.1718
805,C01628,0,0.0
806,C01637,-1,0.0
807,C01640,-1,0.0
808,C01832,5,949.8366
809,C01935,14,0.0
810,C01944,5,893.7303
811,C01959,0,167.1869
812,C02059,0,450.6957
813,C02133,0,0.0
814,C02325,0,210.2265
815,C02505,0,135.1632
816,C02593,5,977.8898
817,C02646,0,150.1745
818,C02737,1,0.0
819,C03024,-1,0.0
820,C03069,5,849.6347
821,C03161,-1,0.0
822,C03221,5,947.8207
823,C03306,1,0.0
824,C03313,2,452.7116
825,C03345,5,849.6347
826,C03427,3,722.9112
827,C03460,5,835.6081
828,C03479,2,473.4393
829,C03508,1,117.1033
830,C03541,4,0.0
831,C03546,6,260.1358
832,C03617,14,0.0
833,C03638,12,0.0
834,C03657,0,204.1788
835,C03680,0,156.1393
836,C03785,3,340.1157
837,C03862,5,0.0
838,C04076,1,145.1564
839,C04146,0,722.9112
840,C04253,-1,0.0
841,C04258,13,0.0
842,C04262,1,0.0
843,C04311,1,0.0
844,C04312,12,0.0
845,C04352,2,402.3578
846,C04405,7,867.6499
847,C04570,-1,0.0
848,C04618,1,0.0
849,C04619,1,0.0
850,C04620,1,0.0
851,C04633,1,0.0
852,C04688,1,0.0
853,C04807,0,355.1385
854,C05067,5,0.0
855,C05258,6,1021.9423
856,C05259,5,1019.9264
857,C05260,6,993.8892
858,C05261,5,991.8733
859,C05262,6,965.836
860,C05263,5,963.8201
861,C05264,6,937.7828
862,C05265,5,935.7669999999999
863,C05266,6,909.7297
864,C05267,5,907.7138
865,C05268,6,881.6765
866,C05270,5,865.6771
867,C05271,5,863.6612
868,C05272,5,1003.927
869,C05273,5,975.8739
870,C05274,5,921.7834
871,C05275,5,919.7676
872,C05276,5,891.7144
873,C05379,0,190.1076
874,C05413,0,544.9362
875,C05421,0,544.9362
876,C05640,0,300.2231
877,C05668,5,839.5968
878,C05744,0,0.0
879,C05746,0,0.0
880,C05747,1,0.0
881,C05750,0,0.0
882,C05753,0,0.0
883,C05756,0,0.0
884,C05757,1,0.0
885,C05759,0,0.0
886,C05762,0,0.0
887,C05774,9,990.0874
888,C05847,0,0.0
889,C05850,0,0.0
890,C05928,3,602.5533
891,C05929,4,0.0
892,C05998,5,867.6499
893,C06000,6,853.6234
894,C06001,1,104.1045
895,C06002,1,102.0886
896,C06206,0,202.1012
897,C06322,5,873.6561
898,C06505,8,936.932
899,C06697,0,122.9198
900,C06714,5,925.686
901,C06715,5,923.6701
902,C06749,5,891.6713
903,C07054,0,137.1393
904,C07292,-1,0.0
905,C07293,-1,0.0
906,C07836,6,290.1618
907,C07838,6,290.1618
908,C09332,3,574.5432
909,C09819,7,973.7288
910,C09820,6,971.7129
911,C09821,5,889.6555
912,C09825,5,907.6707
913,C11215,0,138.9192
914,C11439,3,0.0
915,C11440,3,0.0
916,C11472,6,370.1417
917,C11823,0,0.0
918,C11945,5,917.7517
919,C11946,5,917.7517
920,C11947,5,935.7669999999999
921,C12205,0,196.1999
922,C12214,3,259.151
923,C12215,2,199.0991
924,C13378,0,485.3663
925,C14144,5,893.6442
926,C15541,9,0.0
927,C15585,-1,0.0
928,C15602,-1,0.0
929,C15603,-1,0.0
930,C15804,-1,0.0
931,C15805,-1,0.0
932,C15806,-1,0.0
933,C15807,-1,0.0
934,C15813,4,0.0
935,C16219,0,0.0
936,C16220,1,0.0
937,C16236,0,0.0
938,C16328,7,1041.932
939,C16329,7,1059.9472
940,C16330,7,1057.9314
941,C16332,7,1013.8788
942,C16333,7,1031.8941
943,C16334,7,1029.8782
944,C16336,7,985.8256
945,C16337,7,1003.8409
946,C16338,7,1001.825
947,C16468,5,875.6719
948,C16469,5,893.6872
949,C16471,5,891.6713
950,C19692,0,120.7259
951,C19791,6,348.1978
952,C19847,0,0.0
953,C19878,6,290.1618
954,C19879,6,370.1417
955,C19880,6,290.1618
956,C19882,5,290.1618
957,C19885,1,0.0
958,C19886,2,0.0
959,C19975,5,901.6662
960,C20062,5,901.6662
961,C20372,0,0.0
962,C20373,0,0.0
963,C20376,0,0.0
964,C20377,0,0.0
965,C20638,9,588.357
966,C20649,13,0.0
967,C20675,5,0.0
968,C20676,5,0.0
969,C21754,0,106.1021
970,C22150,-1,0.0
971,C22151,-1,0.0
972,C22154,-1,0.0
973,C22155,-1,0.0
974,C22159,0,0.0
975,C22160,0,0.0
976,C00069,0,0.0
977,C00116,0,92.0938
978,C00156,0,138.1207
979,C00191,4,194.1394
980,C00226,0,0.0
981,C00469,0,46.0684
982,C00800,4,196.1553
983,C04877,14,1051.79
984,C06102,0,130.1418
985,C06103,0,132.1577
986,C20559,4,305.221
987,C21107,4,306.2058
988,C00012,0,0.0
989,C00045,0,0.0
990,C00053,4,507.2643
991,C00054,4,427.2011
992,C00059,0,98.0785
993,C00088,0,47.0134
994,C00089,9,342.2965
995,C00114,0,104.1708
996,C00124,4,180.1559
997,C00125,2,0.0
998,C00126,2,0.0
999,C00151,1,0.0
1000,C00159,4,180.1559
1001,C00162,0,0.0
1002,C00177,0,26.0174
1003,C00184,0,90.0779
1004,C00189,0,61.0831
1005,C00222,0,88.0621
1006,C00224,4,427.2844
1007,C00229,0,0.0
1008,C00232,0,102.0886
1009,C00243,9,342.2965
1010,C00272,3,241.2471
1011,C00301,8,559.3157
1012,C00345,4,276.1352
1013,C00376,0,284.4357
1014,C00378,0,265.3546
1015,C00417,0,174.1082
1016,C00433,0,130.0987
1017,C00468,4,270.3661
1018,C00473,0,286.4516
1019,C00488,0,45.0406
1020,C00489,0,132.1146
1021,C00491,2,240.3005
1022,C00492,14,504.4371
1023,C00497,1,134.0874
1024,C00504,1,441.3975
1025,C00552,2,150.0868
